ADP2,1:Developer Transition Kit
iMac,1:iMac G3
iMac1,1:iMac G3*
iMac4,1:iMac Core Duo
iMac4,2:iMac Core Duo
iMac5,1:iMac Core 2 Duo
iMac5,2:iMac Core 2 Duo
iMac6,1:iMac Core 2 Duo
iMac7,1:iMac Core 2 Duo/Extreme
iMac8,1:iMac Core 2 Duo
iMac9,1:iMac Core 2 Duo
iMac10,1:iMac Core 2 Duo
iMac10,2:iMac Core 2 Duo
iMac11,1:iMac Core i5/i7
iMac11,2:iMac Core i3/i5
iMac11,3:iMac Core i3/i5/i7
iMac12,1:iMac Core i3/i5/i7
iMac12,2:iMac Core i5/i7
iMac13,1:iMac Core i3/i5/i7
iMac13,2:iMac Core i5/i7
iMac14,1:iMac Core i5
iMac14,2:iMac Core i5/i7
iMac14,3:iMac Core i5/i7
M43ADP1,1:Development Mac Pro
MacBook1,1:MacBook Core Duo
MacBook2,1:MacBook Core 2 Duo
MacBook3,1:MacBook Core 2 Duo
MacBook4,1:MacBook Core 2 Duo
MacBook5,1:MacBook Core 2 Duo
MacBook5,2:MacBook Core 2 Duo
MacBook6,1:MacBook Core 2 Duo
MacBook7,1:MacBook Core 2 Duo
MacBookAir1,1:MacBook Air Core 2 Duo
MacBookAir2,1:MacBook Air Core 2 Duo
MacBookAir3,1:MacBook Air Core 2 Duo
MacBookAir3,2:MacBook Air Core 2 Duo
MacBookAir4,1:MacBook Air Core i5/i7
MacBookAir4,2:MacBook Air Core i5/i7
MacBookAir5,1:MacBook Air Core i5/i7
MacBookAir5,2:MacBook Air Core i5/i7
MacBookAir6,1:MacBook Air Core i5/i7
MacBookAir6,2:MacBook Air Core i5/i7
MacBookPro1,1:MacBook Pro Core Duo
MacBookPro1,2:MacBook Pro Core Duo 2.16
MacBookPro2,1:MacBook Pro Core 2 Duo 2.33
MacBookPro2,2:MacBook Pro Core 2 Duo
MacBookPro3,1:MacBook Pro Core 2 Duo
MacBookPro4,1:MacBook Pro Core 2 Duo
MacBookPro5,1:MacBook Pro Core 2 Duo
MacBookPro5,2:MacBook Pro Core 2 Duo
MacBookPro5,3:MacBook Pro Core 2 Duo
MacBookPro5,4:MacBook Pro Core 2 Duo 2.53
MacBookPro5,5:MacBook Pro Core 2 Duo
MacBookPro6,1:MacBook Pro Core i5/i7
MacBookPro6,2:MacBook Pro Core i5/i7
MacBookPro7,1:MacBook Pro Core 2 Duo
MacBookPro8,1:MacBook Pro Core i5/i7
MacBookPro8,2:MacBook Pro Core i7
MacBookPro8,3:MacBook Pro Core i7
MacBookPro9,1:MacBook Pro Core i7
MacBookPro9,2:MacBook Pro Core i5/i7
MacBookPro10,1:MacBook Pro Core i7
MacBookPro10,2:MacBook Pro Core i5/i7
MacBookPro11,1:MacBook Pro Core i5/i7
MacBookPro11,2:MacBook Pro Core i7
MacBookPro11,3:MacBook Pro Core i7
Macmini1,1:Mac mini Core Solo/Duo
Macmini2,1:Mac mini Core 2 Duo
Macmini3,1:Mac mini Core 2 Duo
Macmini4,1:Mac mini Core 2 Duo
Macmini5,1:Mac mini Core i5 2.3
Macmini5,2:Mac mini Core i5/i7
Macmini5,3:Mac mini Core i7 2.0
Macmini6,1:Mac mini Core i5 2.5
Macmini6,2:Mac mini Core i7
MacPro1,1:Mac Pro Quad Core
MacPro2,1:Mac Pro Eight Core 3.0
MacPro3,1:Mac Pro Quad/Eight Core
MacPro4,1:Mac Pro Quad/Eight Core
MacPro5,1:Mac Pro Quad/Six/Eight/Twelve Core
MacPro6,1:Mac Pro Quad/Six/Eight/Twelve Core
PowerBook1,1:PowerBook G3
PowerBook2,1:iBook G3
PowerBook2,2:iBook G3
PowerBook2,3:iBook G3*
PowerBook2,4:iBook G3*
PowerBook3,1:PowerBook G3
PowerBook3,2:PowerBook G4
PowerBook3,3:PowerBook G4
PowerBook3,4:PowerBook G4
PowerBook3,5:PowerBook G4
PowerBook4,1:iBook G3
PowerBook4,2:iBook G3 600
PowerBook4,3:iBook G3
PowerBook5,1:PowerBook G4 1.0
PowerBook5,2:PowerBook G4
PowerBook5,3:PowerBook G4 1.33
PowerBook5,4:PowerBook G4
PowerBook5,5:PowerBook G4 1.5
PowerBook5,6:PowerBook G4
PowerBook5,7:PowerBook G4 1.67
PowerBook5,8:PowerBook G4 1.67
PowerBook5,9:PowerBook G4 1.67
PowerBook6,1:PowerBook G4 867
PowerBook6,2:PowerBook G4 1.0
PowerBook6,3:iBook G4
PowerBook6,4:PowerBook G4 1.33
PowerBook6,5:iBook G4
PowerBook6,7:iBook G4
PowerBook6,8:PowerBook G4 1.5
PowerMac1,1:Power Macintosh/Mac Server G3
PowerMac1,2:Power Macintosh G4
PowerMac2,1:iMac G3
PowerMac2,2:iMac G3
PowerMac3,1:Power Macintosh/Mac Server G4
PowerMac3,2:Power Macintosh/Mac Server G4*
PowerMac3,3:Power Macintosh/Mac Server G4
PowerMac3,4:Power Macintosh/Mac Server G4
PowerMac3,5:Power Macintosh/Mac Server G4
PowerMac3,6:Power Macintosh/Mac Server G4
PowerMac4,1:iMac G3
PowerMac4,2:iMac G4
PowerMac4,4:eMac G4
PowerMac4,5:iMac G4 800
PowerMac5,1:Power Macintosh G4 Cube
PowerMac6,1:iMac G4
PowerMac6,3:iMac G4 1.25
PowerMac6,4:eMac G4
PowerMac7,2:Power Macintosh G5
PowerMac7,3:Power Macintosh G5
PowerMac8,1:iMac G5
PowerMac8,2:iMac G5
PowerMac9,1:Power Macintosh G5 1.8
PowerMac10,1:Mac mini G4
PowerMac10,2:Mac mini G4
PowerMac11,2:Power Macintosh G5 Dual/Quad Core
PowerMac12,1:iMac G5
RackMac1,1:Xserve G4 1.0
RackMac1,2:Xserve G4 1.33
RackMac3,1:Xserve G5
Xserve1,1:Xserve Xeon Quad Core
Xserve2,1:Xserve Xeon Quad/Eight Core
Xserve3,1:Xserve Xeon Nehalem Quad/Eight Core
