  PID  PPID %MEM COMMAND
    1     0  0.0 init [5]  
    2     0  0.0 [kthreadd]
    3     2  0.0 [migration/0]
    4     2  0.0 [ksoftirqd/0]
    5     2  0.0 [events/0]
    6     2  0.0 [khelper]
    7     2  0.0 [kintegrityd/0]
    8     2  0.0 [kblockd/0]
    9     2  0.0 [kacpid]
   10     2  0.0 [kacpi_notify]
   11     2  0.0 [cqueue]
   12     2  0.0 [kseriod]
   13     2  0.0 [kondemand/0]
   14     2  0.0 [pdflush]
   15     2  0.0 [pdflush]
   16     2  0.0 [kswapd0]
   17     2  0.0 [aio/0]
   18     2  0.0 [kpsmoused]
   54     2  0.0 [ata/0]
   55     2  0.0 [ata_aux]
   57     2  0.0 [scsi_eh_0]
   58     2  0.0 [scsi_eh_1]
  202     2  0.0 [ksuspend_usbd]
  203     2  0.0 [khubd]
  510     2  0.0 [kjournald]
  592     1  0.0 /sbin/udevd --daemon
  818     2  0.0 [scsi_eh_2]
  819     2  0.0 [usb-storage]
 1303     2  0.0 [kauditd]
 1326     2  0.0 [kstriped]
 1363     2  0.0 [kjournald]
 1385     1  0.0 /sbin/mount.ntfs-3g /dev/sda1 /windows/C -v -o rw,noexec,nosuid,nodev,users,gid=100,fmask=133,dmask=022,locale=de_DE.UTF-8
 1808     1  0.0 /sbin/acpid
 1827     1  0.0 /sbin/klogd -c 1 -x
 1843     1  0.0 /sbin/syslog-ng
 1853     1  0.0 /bin/dbus-daemon --system
 1982     1  0.2 /usr/sbin/hald --daemon=yes
 1991     1  0.1 /usr/sbin/console-kit-daemon
 2054  1982  0.0 hald-runner
 2129  2054  0.0 hald-addon-input: Listening on /dev/input/event4 /dev/input/event3 /dev/input/event2 /dev/input/event1
 2223  2054  0.0 hald-addon-storage: no polling on /dev/fd0 because it is explicitly disabled
 2234  2054  0.0 hald-addon-storage: polling /dev/sdb (every 2 sec)
 2235  2054  0.0 hald-addon-storage: polling /dev/sdc (every 2 sec)
 2238  2054  0.0 hald-addon-storage: polling /dev/sr0 (every 2 sec)
 2246  2054  0.0 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
 2478     1  0.0 /usr/bin/kdm
 2492  2478  3.0 /usr/bin/Xorg -br -nolisten tcp :0 vt7 -auth /var/lib/xdm/authdir/authfiles/A:0-StlX1E
 2873     1  0.0 /sbin/dhcpcd --netconfig -L -E -c /etc/sysconfig/network/scripts/dhcpcd-hook -t 0 -h linux-mcr eth0
 2911     1  0.0 /sbin/rpcbind
 3381     1  0.2 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 3382  3381  0.3 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 3383  3381  0.3 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf
 3401     1  0.0 /sbin/auditd -s disable
 3404  3401  0.0 /sbin/audispd
 3422     1  0.0 avahi-daemon: running [linux-mcr.local]
 3482     1  0.1 /usr/sbin/cupsd
 3671     1  0.0 /usr/sbin/nscd
